	SRR17933311	SRR17933310	SRR17933309	SRR17933308	SRR17933307	SRR17933306
Gene	Par	Par	sgSTING	sgSTING	sgSTING	sgSTING
APOL1	0.9642116913646959	0.8145918700740529	0.7324662708535998	-0.14626935041433903	-1.3440872128680685	-1.0209132690099707
SAR1A	-0.7145508475627566	0.9687973448134795	0.2076390643385685	-1.2658073616054761	-0.48751124765165277	1.291433047667906
STAT1	-0.8279699380347686	-0.606272465271907	-0.6214508433402337	-0.48336016024041595	1.041858981912034	1.497194424975299
EIF2AK2	-1.3991810522310197	-0.3044581673176961	-0.48504054559271736	0.020433894667499286	0.6579359720990454	1.5103098983748886
EXT1	1.3177619114705716	0.9232839947816361	-0.5310578623360692	-0.5111436220401812	0.15858371919209308	-1.3574281410680205
IRAK2	0.6024096288236365	1.621364736493187	-0.01572912030825427	-1.2393285353657673	-0.5223739752216204	-0.4463427344211833
STARD4	-1.15317385326671	-1.0096003039248085	-0.0404766219437516	0.06419804185157886	0.646818290581517	1.4922344467021904
XRN1	-1.5252219511722545	-0.528799411770237	0.444525601546525	-0.39703681935624974	0.8898171021708886	1.1167154785813296
IFIH1	-1.1527995926989405	-0.09711945842452602	-0.8641088089033307	-0.261874217258703	1.2972749384873319	1.0786271387981956
NFKBIA	0.5466727520727612	-0.881829380296842	0.5803234835005542	0.008710633608134953	1.2061868565169174	-1.460064345401341
NCOA7	-1.3331559955447243	-0.4841345203836239	-0.12305084863004805	-0.3442072568171292	0.7921975269620072	1.4923510944135112
SAT1	1.5960105693637383	0.22773830117231367	-0.9134570388651251	-1.1570719732667294	-0.1906290339901325	0.437409175585935
NBN	-1.0409849533115914	-1.1646496327831535	0.5831453429693877	-0.33444029641037687	0.6676222488724959	1.289307290663252
CD55	1.511427316697057	0.9723249100811505	-0.6604498481589002	-0.9710127115444632	-0.544282908183786	-0.30800675889105233
C5orf15	0.4995366411891664	-1.1689131220340383	-0.7322426618645046	-0.6390855335028324	0.5977071946926279	1.442997481519541
SEMA3A	-1.289722993559746	-1.2437533037166266	0.40641601189779053	0.4310021620627328	0.8630107523964958	0.8330473709193517
NCF2	0.8850177999712917	-0.35423771836369317	0.7990992074455374	0.3173275778326718	0.17523528388621157	-1.822442150772019
ERAP1	-1.3535246706649118	-0.9901719104459241	0.0476074868898587	0.23125334310422468	1.0299046489946957	1.0349311021220569
PRRG4	-1.1901943089628526	-1.3817114290839208	0.6630982269514728	0.5230485763793495	0.6720462098101011	0.7137127249058498
MASTL	-0.605252298712545	0.3023430128172898	-0.5205135132929996	-1.2858675358351084	0.6111838605428157	1.4981064744805186
NEK7	-1.1398732871474562	-1.2482043002830434	0.3995321948523941	0.11163297642306519	0.6150470949595704	1.2618653211954594
SMARCA5	-1.1931198815095727	-0.745370982012062	-0.3459619830034357	-0.11667361234373806	1.1511644122418967	1.249962046626905
SH3KBP1	1.2692507552302195	0.9541537549829524	-1.0760416956449592	-1.0942163432816256	-0.2735608080262402	0.22041433673966912
CD2AP	-1.0439560338701661	-0.8320613970722648	-0.13621761017648884	-0.43682923352189057	1.2934404227647098	1.1556238518761004
LIPA	-1.0254458836775517	-1.115055122828448	0.12402364835936937	0.33501314067367555	0.07789654794852575	1.6035676695244558
TOR1B	-1.3176289802348937	1.3077039518482476	-0.7026463974288604	-0.1356020242281457	1.0080239114090435	-0.15985046136535516
TMEM154	-0.16516901861153202	1.9247217251458195	-0.5064628829570417	0.11318727347146629	-0.8640983678125251	-0.502178729236187
BST2	0.538890370262131	0.4978236523585473	1.1185659817231666	0.2572994363162434	-1.5484199191187296	-0.8641595215413173
SP100	-0.45582974369943335	0.520401550495767	-1.2261001932197448	-0.8906378988802277	0.7820025319954371	1.270163753308192
FGF2	0.004964048239322258	1.861765505719126	-0.38320789172841896	-1.0418200462007057	0.09853696898179762	-0.5402385850110898
IL7R	1.120346832362938	1.4247112143168381	-0.8481217954466982	-0.7195606214615645	-0.5011638380634383	-0.4762117917080699
SERPINE1	-1.111153854037814	-1.3284773459723012	0.1825243644195057	0.3904986941522389	0.742820865013192	1.123787276425128
DDX60L	-1.3113636594760956	-0.21157196065093997	-0.21046244185916785	-0.6300164775416264	1.1544738909915584	1.2089406485362746
ENPP1	-1.499509746975469	-0.9591410467516877	0.3568912144145933	0.3081062861440651	0.8791903115520294	0.9144629816164658
RNF149	-0.1547406979965653	-0.043839716135193586	1.7304126154771797	-1.0169109319771965	-0.8950834759749515	0.380162206606621
C4BPB	1.2421331546125394	-1.270856712977475	1.163819068451585	-0.45056772925057487	-0.18375017304525965	-0.5007776077908164
ZNFX1	-1.3117272539914586	-0.8067705794307694	-0.4216872473985183	0.8653676602502486	0.45055936935765245	1.2242580512128454
PXK	1.2284304990300439	1.1275099687024348	-0.47737285328023954	0.07788433635479874	-0.7886516486569376	-1.1678003021500643
CD274	1.7548062789011056	-0.0038644493929167164	-0.4741350141918255	-1.221930390742684	-0.3446261589918576	0.2897497344181899
BMAL2	-1.43869551226209	-0.5483866343470022	0.6172902308666901	0.15102363335121682	-0.2516831884108197	1.4704514708020116
APOL2	1.05936277332629	1.0685980295007802	-0.03500860400295448	0.057023996039322636	-0.6166363721599796	-1.533339822703478
GTPBP1	0.6049503994991245	1.5968457846894475	-0.0020417921068461927	-0.412033284764374	-0.4961360393132083	-1.2915850680041434
NECTIN2	1.2052238249944953	0.9841734782709937	0.31496739638374033	-0.3766911204968165	-1.2565023100723733	-0.8711712690800253
SYT13	0.5155691331284111	1.6119537271366866	-1.0129204161465681	-0.8376218783697305	-0.5684997903646001	0.2915192246158004
UBE2L6	1.3119520505866331	1.203974020440276	-0.376565272462169	-0.4997211561321186	-1.03603344039604	-0.6036062020365776
KRT17	1.0664434660750308	1.4489229492163143	-0.42717361105332435	-0.4339682257207456	-0.9373062725319851	-0.7169183059852903
SCN3A	1.4205346788652875	1.1521374644233195	-0.6431680358221518	-0.6431680358221518	-0.6431680358221518	-0.6431680358221518
PSMB8	0.7559526135067686	0.7299170773565443	0.7859621353024843	0.2549419297782816	-1.3652005159665535	-1.1615732399775351
THEMIS2	1.3953723170171304	0.705526428943032	-0.030017754276487625	-1.556221859149307	-0.25591479619832225	-0.2587443363360439
GBP4	0.42613823810582824	1.6022835578801644	-1.0634577911605043	0.2133912252862069	-0.15308428250189832	-1.0252709476097985
IDO1	1.6801486810940824	0.652165232147315	-0.5239609279023025	-0.10162033064882496	-0.9256539353204454	-0.7810787193698258
PRKD2	1.2086700715431042	1.2601649268135093	-0.3449353549355379	-0.32797515878232314	-0.6614452933919589	-1.1344791912467678
DNPEP	1.1832145818051696	0.9686212102789818	0.32388883705718347	-0.24000178197250055	-1.1132221561471338	-1.1225006910217004
IGFBP6	1.5559863711278796	0.5640127027154425	-0.8329824517699709	0.3164954867391691	-0.5008064037977984	-1.1027057050147409
OAS2	1.2346155344816612	0.8437201688905801	-0.7089415725759162	-0.7964980368246252	0.5687561728902865	-1.1416522668619866
PLSCR1	1.4173452492226781	1.1254824984104947	-0.6474996742052547	-0.36660691947376634	-0.7980573535453067	-0.7306638004088335
CMTR1	0.8384777100889861	0.9058320643337069	-0.06138991134409873	0.7373209091446469	-1.2208409007032885	-1.199399871519971
HIP1R	1.3340526828701396	0.9998217497805792	0.04038575087182844	-0.31533169744692296	-1.0303486404602866	-1.028579845615343
CXCL10	1.470151905469744	0.9529307420393209	-0.6663339173552799	-1.0247081563307554	-0.0756696542363928	-0.6563709195866367
HERC5	1.312305591605595	1.2499402120344467	-0.579578278743229	-0.8377472275038931	-0.6781740515366331	-0.4667462458562864
CCDC71L	0.8009046909429404	1.2186422469683442	0.19418660463630733	0.1567588089050348	-1.2132103867142325	-1.1572819647383856
