	SRR17933337	SRR17933336	SRR17933335	SRR17933334
Gene	Par	Par	Tax-R	Tax-R
SOD2	0.9093748300926686	0.8214670769624048	-0.8781175328256876	-0.8527243742293872
PPM1K	0.6871252469976262	1.0094715577808802	-0.6617431693112338	-1.0348536354672666
NFKB2	0.8500880376244364	0.8817468545309071	-0.8770252354466779	-0.8548096567086648
GBP1	0.8074515888012651	0.9224080002841547	-0.8428129030487584	-0.8870466860366613
TNIP1	0.8664089617842765	0.7358429535204181	-1.2617044301439868	-0.3405474851607012
CCL5	0.879775969953111	0.8516246672078931	-0.8961600109241795	-0.8352406262368246
PLAUR	0.9411633874800552	0.7872246511063085	-0.8438689019083272	-0.8845191366780328
IFIT3	0.6989582160803854	1.017943116111832	-0.8322387194634182	-0.8846626127288011
SQOR	0.3014582789954391	-1.0525492754586416	-0.49600314822267244	1.247094144685875
CXCL11	0.8662184766755869	0.8650008801609804	-0.9035490856602577	-0.8276702711763102
IFIT2	0.8497870497461381	0.8810656290894443	-0.822648837125001	-0.9082038417105822
SDC4	0.8588734071416747	0.8728248312296883	-0.8895544994238708	-0.8421437389474935
STING1	0.892177665940979	0.8373402352179512	-0.9250260961343202	-0.8044918050246087
OASL	0.9110015911175757	0.819501962439316	-0.8894526042729931	-0.8410509492838977
IL6	0.8526448205615328	0.8759062298692988	-0.9412193991527735	-0.7873316512780586
ISG15	0.8179643934531378	0.9123366668484295	-0.8368205308004267	-0.8934805295011359
MX2	0.8737352727389899	0.8582668201082823	-0.8709565413170569	-0.8610455515302138
IFIT1	0.81371658719077	0.9164155031447612	-0.891232973934276	-0.8388991164012551
ISG20	0.8539499718605101	0.8661268742797924	-0.7164043308500813	-1.0036725152902204
SAA2	0.9292997722095759	0.8003490685260841	-0.8654350559194454	-0.8642137848162147
BIRC3	0.8328783745001741	0.8979727180318621	-0.8973305513651095	-0.8335205411669266
RICTOR	0.7564114245976677	0.9687435500934396	-0.8880514695602062	-0.8371035051309035
C6orf62	-1.462393976647508	0.646552563360727	0.17278772930944697	0.6430536839773537
CASP1	-0.7462093375033975	1.0847426350978462	-0.9468277857612969	0.6082944881667767
B2M	-1.0870507475595814	-0.6028157777562922	0.7285086655431594	0.9613578597727056
APOL1	0.7835315567951343	0.8686685957015023	-1.1912099901052375	-0.46099016239140456
SAR1A	0.32382205608815856	1.2723582131528002	-0.763825521268154	-0.8323547479728118
STAT1	-0.6921623265698491	1.1646819950911709	-0.9617905866819725	0.4892709181606962
EIF2AK2	-1.2735799752327484	-0.299134998212311	0.6254287669713209	0.9472862064737385
EXT1	-0.7674078389970407	0.8597909312221566	-0.9593118682414461	0.8669287760163086
IRAK2	0.8260063387051849	0.9021533328262633	-0.9367605324309355	-0.7913991391005116
STARD4	-0.7993777842956384	-0.8623250255826233	0.48678557253938565	1.1749172373388799
XRN1	0.6412087974665537	1.064751861863087	-0.8515901641374524	-0.8543704951921817
IFIH1	0.5931893049621642	1.0854853113980798	-1.0137991283750074	-0.6648754879852264
NFKBIA	0.8859426087869389	0.8458740279049534	-0.8638599909515308	-0.8679566457403641
NCOA7	0.7946577127983631	0.9231208392318981	-1.0020420942868637	-0.7157364577433976
SAT1	0.8772335293536495	0.8541994123901736	-0.8963325040260015	-0.8351004377178233
NBN	-1.4317870791692713	0.12495968983544455	0.4528246582222401	0.8540027311115974
CD55	0.7915556762121386	0.9373144433794337	-0.8783149099454527	-0.8505552096461212
C5orf15	-0.5706400430908435	1.441397564697293	-0.7652527299102867	-0.10550479169614353
SEMA3A	-0.9349453475422648	-0.7924236726949986	0.8087297376965836	0.918639282540682
NCF2	0.9036845295450938	0.7866321425958646	-0.5844104528220626	-1.1059062193188958
ERAP1	-0.9070244412791125	-0.8197826058628652	0.7787517279095388	0.9480553192324338
PRRG4	1.317749648320857	0.22847087653132606	-0.8623794261675438	-0.6838410986846304
MASTL	-1.4842374607707713	0.4504277230318451	0.6897816160727708	0.3440281216661178
NEK7	0.471458260198125	1.17695879393591	-0.954315625428185	-0.6941014287058466
SMARCA5	-1.4369788392936793	0.17734341872910594	0.3949768802662581	0.8646585402983057
SH3KBP1	0.4121628652412368	1.1912740976708176	-1.052200765977698	-0.5512361969343622
CD2AP	-0.7884048942909014	1.4652584555415167	-0.30400288315981205	-0.37285067809079125
LIPA	-1.3720842748470343	0.6617263123424559	-0.10698917690241763	0.8173471394070483
TOR1B	0.8588746726597541	0.8730125490765187	-0.85066762625441	-0.8812195954818566
TMEM154	-0.8490544881539517	-0.8782549988413788	0.7742802470690803	0.9530292399262499
BST2	0.9017914991219739	0.8048126457145722	-1.056771780019436	-0.6498323648171169
SP100	-1.3469042188203113	-0.15770502196910532	0.8728319360442001	0.6317773047451958
FGF2	-1.1481177545970216	-0.5249375567155181	0.8944463304213475	0.7786089808911922
IL7R	0.7809797661202859	0.944033371528169	-0.7882218603642168	-0.9367912772842379
SERPINE1	-0.868591882525128	-0.8634216704424661	0.873612261020795	0.8584012919467969
