	SRR17933323	SRR17933322	SRR17933321	SRR17933320	SRR17933319	SRR17933318
Gene	siC	siC	siMYC	siMYC	siMYC	siMYC
SOD2	1.2221040920497086	1.3524990190917527	-0.6116670014623435	-0.7479738942033196	-0.6601115739464576	-0.5548506415293406
PPM1K	0.902395067781936	1.5916169540678802	-0.5590240537662166	-0.8050524347819296	-0.40149889649488346	-0.7284366368067867
NFKB2	1.7139532393522807	-0.11989272422091181	-0.28749473792552116	-1.3839256135152092	0.19213093277740562	-0.11477109646807632
GBP1	0.8661386287234493	1.5504292456082198	-0.8664439393351647	-0.19838942949789026	-0.4091309805900219	-0.9426035249085901
TNIP1	-0.7767310289572419	-1.586759225303755	0.15662659265250495	0.5007184846017687	0.5808892893196802	1.1252558876870198
CCL5	-1.0715561492283594	-1.427075116166292	1.0471266631421512	0.3790936099973903	0.5346008293421296	0.5378101629129857
PLAUR	-1.2788327767965753	-1.3020598848170954	0.6597109054209904	0.6551809955399084	0.6740321162518017	0.5919686444009701
IFIT3	-1.2964726701056046	-1.2704780534050044	0.7205699576557575	0.7657077567688777	0.6286190694976656	0.4520539395883169
SQOR	-1.3255266851490344	-1.1641630793172433	0.37815332299168847	0.5168903514782286	1.1183212415671935	0.4763248484291728
CXCL11	-1.4904530394474356	-1.0107442342760249	0.3531695560342391	0.848366018628148	0.4655322776368284	0.8341294214242434
IFIT2	-1.1181820891668928	-1.4280312069806058	0.7091730376493992	0.5616124808795843	0.8360856400577958	0.439342137560722
SDC4	-1.203129979336243	-1.3723557088952492	0.5561864995345549	0.6567056341072307	0.6717639013502958	0.6908296532394497
STING1	-1.5127540176616772	-1.034134008911797	0.5927908187310522	0.6512295019264904	0.7460625619999296	0.5568051439159977
OASL	-1.064231037442663	-1.4914086214987194	0.6955531059083222	0.6536443207204764	0.5567659142921985	0.6496763180203867
IL6	-1.452312754513221	-1.1123896795296013	0.6970211416224222	0.6182202752604032	0.6735447823189923	0.5759162348410043
ISG15	-1.2343105216162784	-1.3396619566368393	0.5588410817103826	0.6841207610318535	0.5770063009141817	0.7540043345966954
MX2	-1.135853193330178	-1.4296816602601388	0.7040238185703053	0.6789046777647796	0.6620416999649752	0.5205646572902572
IFIT1	-1.1960866206618297	-0.8967213876347839	0.31436926153366207	1.6150189145555098	-0.06795704932867681	0.23137688153610927
ISG20	-1.299171236639705	-1.2486376389096763	0.5646064217676202	0.443662920113586	0.6079829340299712	0.9315565996382003
SAA2	1.274586882542523	1.2922670821553714	-0.5895368239400872	-0.7452997324354883	-0.7635133855678433	-0.4685040227544778
BIRC3	1.219064863546422	1.3601334666571456	-0.6248555420339464	-0.6573384965157014	-0.6601081281067716	-0.6368961635471463
RICTOR	0.8270446515479788	1.6128134338129245	-0.44417942450035947	-0.43464913360737456	-0.5457721928333545	-1.0152573344198037
C6orf62	0.8269303092363074	1.6078469336200367	-0.3199397133061206	-0.40208172437870926	-0.8667977013080991	-0.8459581038634402
CASP1	-1.4833175603336548	-1.069686085224773	0.5405196847658617	0.6548679172605593	0.5982893444979394	0.7593266990340656
B2M	-1.3325599186327726	-1.239867158876912	0.7642658062248174	0.5947504348760594	0.5260820336157825	0.6873288027930032
APOL1	-1.2920208670455318	-1.2894638880153397	0.6300972360623266	0.6762573392826803	0.6554530353114819	0.6196771444043803
SAR1A	-1.3932680971896763	-1.0948147469977525	0.8522364362234401	0.3786427688716171	0.3121947286090531	0.9450089104832982
STAT1	1.4649289661546532	1.0401765383076396	-0.4579309403847535	-0.8026184424179686	-0.8902881474162184	-0.3542679742433409
EIF2AK2	0.0892936392171836	1.6975265397869743	-1.181501742755299	0.08753385271831203	0.13668854275183492	-0.8295408317190138
EXT1	-1.3174517492645563	-1.2384584861845445	0.5583043548137173	0.5686487826068976	0.9075032647762107	0.5214538332522819
IRAK2	-0.89813853125734	-1.5360134955359315	0.8658660380081179	0.5608300896404925	0.1416011481479628	0.8658547509966893
STARD4	-1.489751753742497	-1.0490432821376172	0.415417535217686	0.6937342846110561	0.6680826755868483	0.7615605404645504
XRN1	1.2225451086295906	1.354635410257154	-0.5624721770411856	-0.6613531044923588	-0.6566990721768761	-0.6966561651763314
IFIH1	-1.3249848804774478	-1.2214085931603003	0.5260106457375562	0.8848192445429209	0.41248933501381413	0.7230742483434568
NFKBIA	1.3424354436864478	1.2147233802477226	-0.6401186812298056	-0.8774963732252179	-0.5532140258168738	-0.486329743662267
NCOA7	0.780512991477081	1.1084699144965742	-1.186394708593612	0.6474246032827677	-0.21449819394418818	-1.135514606718631
SAT1	-1.3015052228337376	-1.260610841639085	0.8244815565516087	0.4855354982558651	0.5323640237918885	0.7197349858734645
NBN	1.05498174577959	1.4951143323785538	-0.7324814848897827	-0.6988647974209854	-0.5381032553780082	-0.5806465404693755
CD55	-0.8477860466341965	1.812641702806091	0.3772111036461103	-0.03711734367213702	-0.6370397944722566	-0.6679096216735823
C5orf15	-1.5508053138396762	-0.9878003511509716	0.7077883412908039	0.6282900626487429	0.6171491452600926	0.5853781157910066
SEMA3A	0.6620212874218854	1.5755459181656546	-0.10749665617337406	-0.592162612043282	-0.25194798581521305	-1.2859599515556823
NCF2	-0.4234905571138458	-0.41663274733144273	1.731743920038871	0.4007037980801185	-0.07496995881062854	-1.2173544548630701
ERAP1	0.9316578992554798	1.5005557171604924	-0.061662502522001346	-0.7539518016014807	-0.7818058187104404	-0.8347934935820537
PRRG4	1.2705835438342659	1.2359412451048972	-0.38386416963850073	-0.6538650265410423	-0.41463595026203104	-1.0541596424975885
MASTL	1.270302387367543	1.300079954537543	-0.6070468911276853	-0.5903122628637594	-0.5513207594512999	-0.8217024284623368
NEK7	-1.471130396242103	-0.7994104480492241	0.7231941826797383	-0.24779720965462143	0.8748315469431386	0.9203123243230718
SMARCA5	1.2236095603531096	1.3557919621518082	-0.631627779188767	-0.6238341985590528	-0.6681778862813529	-0.6557616584757409
SH3KBP1	0.6770690810715145	1.4851259893543158	-1.2760846809345232	-0.8405630462379071	-0.021627515855894317	-0.023919827397564628
CD2AP	0.08639915808790063	1.894761882630424	-0.2878083252579886	-0.25642633703129236	-1.0512136863507546	-0.38571269207828335
LIPA	1.1381154225002867	1.4159991500685971	-0.8237095094894953	-0.45671289799723946	-0.6633960275104609	-0.6102961375716568
TOR1B	-1.5167801722435301	-0.9624830464248311	0.5941048762094171	0.428315155767698	0.43228498421633377	1.0245582024749167
TMEM154	1.4230387041150712	0.8828819252054545	-0.11655561486336904	-0.4451474521754161	-1.3530409150826253	-0.3911766471991136
BST2	-0.7842006856226469	-1.6759979617506016	0.5319317123213176	0.6009783799242194	0.5038220280476423	0.8234665270800826
SP100	1.266053393770607	1.3096753927497498	-0.5175679292119655	-0.6616342963830806	-0.721495247272333	-0.6750313136529713
FGF2	-1.8690984438174723	-0.34188531301444497	0.8833821845627374	0.38231068845792826	0.5628465118653936	0.38244437194586844
IL7R	1.345684665105533	1.2303315079826125	-0.6604758452042807	-0.741950175176571	-0.5822215243196093	-0.5913686283876897
SERPINE1	-1.1990421977720795	-1.1953671318767167	0.9169062792477516	0.8051586170154986	0.7935419719019479	-0.12119753851640173
DDX60L	0.538011957089581	1.6756233576244135	-1.0306343367030404	-0.8006911842032379	-0.4425863982510187	0.06027660444333086
ENPP1	1.232391817036706	1.3397835049021867	-0.6299429847503808	-0.5820776829499464	-0.793076518587551	-0.5670781356510162
