	SRR17933301	SRR17933300	SRR17933299	SRR17933298
Gene	GFP	GFP	STING	STING
SOD2	-0.8740050674346602	-0.8542878282597643	0.784117447066665	0.9441754486277465
PPM1K	-1.0290635071589243	-0.6858231186753891	0.8461102111472821	0.8687764146870237
NFKB2	-0.6355452001505227	-1.0474248287487262	1.0449419725510507	0.6380280563481929
GBP1	-0.7516461171157559	-0.957659272451645	0.6857527612281897	1.0235526283392111
TNIP1	-0.7944509312453228	-0.9281391711252657	0.970260794595273	0.7523293077753213
CCL5	-0.7842708390628758	-0.9440718764236272	0.8697959490152865	0.8585467664712166
PLAUR	-1.1898287555928064	-0.4576132235605161	0.9182332444665569	0.729208734686747
IFIT3	-0.8571144219085303	-0.8748770885013857	0.8708769285134592	0.8611145818964561
SQOR	-0.765714247411683	-0.5865448609098097	1.4361770755144554	-0.0839179671929545
CXCL11	-0.8634152300725508	-0.8634152300725508	0.9584324967009282	0.7683979634441738
IFIT2	-0.7753623441405207	-0.9518206341549273	0.8887926342512787	0.8383903440441693
SDC4	-0.8762914817656531	-0.8556749954956195	0.8596744396113251	0.8722920376499386
STING1	-0.8736953634586604	-0.8579881421454338	0.8898092100933773	0.8418742955107165
OASL	-0.8084601397563519	-0.921720782512964	0.8596137095207942	0.8705672127485213
IL6	-0.6551447012285495	-1.0456343296672983	0.7256706052821738	0.9751084256136742
ISG15	-0.77186748111298	-0.8925059859216538	1.1657913931144792	0.49858207392015447
MX2	-0.8559302655420753	-0.8297676071234183	1.123989861620459	0.5617080110450348
IFIT1	-0.6554678657254137	-1.045043150890032	0.7230198392444482	0.9774911773709968
ISG20	-0.1987368485065912	-1.0507276291984817	1.3581810692971699	-0.10871659159209682
SAA2	-0.7668412667798984	-0.9597959087911136	0.8559593419234781	0.8706778336475366
BIRC3	-0.8852521654622957	-0.8342603667130291	0.7148829249890315	1.004629607186293
RICTOR	-0.7521914019735133	-0.29382735183350245	-0.42588365327787614	1.4719024070848996
C6orf62	-1.0550110537169044	-0.014567084381663804	-0.2759947430235041	1.3455728811220724
CASP1	-0.9200443600097898	-0.5053890205591174	0.048574328929442585	1.3768590516394645
B2M	-0.9185544558675071	-0.7398685801091179	0.48740110807932324	1.1710219278973018
APOL1	-1.0477823442368637	-0.6370381481854844	0.6461648500629199	1.0386556423594282
SAR1A	-0.8754043339612353	-0.3632955511449609	-0.1975022141800011	1.4362020992862259
STAT1	-0.6986090272193344	-0.6997760199761094	-0.023482568972991877	1.4218676161684252
EIF2AK2	-1.0384731641840168	0.15128614121359013	-0.4239131409050765	1.3111001638754878
EXT1	-0.7692427114328225	-0.9435336700307276	0.6963750694320855	1.0164013120314648
IRAK2	-0.9833799022125869	-0.6575543027338099	1.1770156786862325	0.4639185262601652
STARD4	-1.1906882087729986	-0.38746745206841704	0.4834285885161387	1.0947270723252676
XRN1	-1.290497007408068	0.06020534074320935	0.07933616643367482	1.150955500231187
IFIH1	-0.9789091749455049	-0.6768412965838408	0.5016330906780929	1.1541173808512546
NFKBIA	-1.0295453952428448	-0.6803857787323454	0.9420837864838881	0.7678473874912994
NCOA7	-1.2495526162475787	-0.16351921843812497	0.25184166873219194	1.1612301659535031
SAT1	-0.9048125935826311	-0.5212641737207129	0.04492523508761454	1.3811515322157295
NBN	-1.090698697377977	-0.35842000464790186	0.1624477315254962	1.2866709705003847
CD55	-0.9850523669179208	-0.7263067029942247	0.7182468704803803	0.9931121994317669
C5orf15	-0.9719808754665691	-0.4890214474058482	0.11859949123705306	1.3424028316353642
SEMA3A	-0.44895544072750954	-1.1589843298684201	0.5189618306498793	1.08897793994605
NCF2	-0.3842584068038634	-1.2386602612511046	0.835268286516461	0.7876503815385079
ERAP1	-0.8095516956340113	-0.8637032363916207	0.5213880825526431	1.1518668494729831
