	SRR17933333	SRR17933332	SRR17933331	SRR17933330
Gene	Par	Par	Tax-R	Tax-R
SOD2	0.6710037762467125	1.0411544912485329	-0.8581152009741235	-0.854043066521121
PPM1K	0.5255176655094703	1.1494003663834622	-0.8416288010122372	-0.8332892308806967
NFKB2	0.7024914012129638	0.9880806079065021	-1.0702145315320286	-0.6203574775874351
GBP1	0.8694225904294067	0.8516270407934634	-0.7229933172661597	-0.998056313956714
TNIP1	0.07473713985284741	1.2014293607604787	-1.2449940272687519	-0.031172473344574417
CCL5	0.8922586028842951	0.8388628347266575	-0.835618990271404	-0.895502447339549
PLAUR	-0.530225495872837	-1.1459377944926763	0.8595968339478152	0.8165664564176982
IFIT3	0.9689580716024119	0.7565442771718748	-0.8563545212689984	-0.8691478275052898
SQOR	0.16012470045753105	1.347730852110935	-0.8568050013292885	-0.6510505512391777
CXCL11	0.784848907941888	0.9435600934875105	-0.8622419043244206	-0.8661670971049772
IFIT2	0.9083579795135548	0.8223106815268342	-0.8420543289387665	-0.8886143321016209
SDC4	0.6266317343085974	1.07533733620078	-0.8147014507336506	-0.8872676197757327
STING1	0.9050599937906177	0.8237013308150029	-0.9279206753938912	-0.8008406492117298
OASL	0.9604421452641504	0.7627972588802969	-0.9354919074239195	-0.7877474967205279
IL6	0.7505113006894221	0.9740894238639153	-0.8817779428372762	-0.8428227817160612
ISG15	1.0222752981318055	0.6762739813410785	-1.0152142214999444	-0.6833350579729363
MX2	0.6047070274893839	1.0902725600715844	-0.9151553482958078	-0.7798242392651602
IFIT1	0.927049695153458	0.7993599563333245	-0.9385619108559029	-0.7878477406308797
ISG20	0.871077134248487	0.8600361015758037	-0.9054691006256669	-0.8256441351986233
SAA2	0.8456246587879718	0.8831453529539949	-0.7914112254552327	-0.9373587862867331
BIRC3	0.6939349592047493	1.0223411143039978	-0.8734862963928894	-0.842789777115857
RICTOR	0.5085663399617713	1.1609067003372144	-0.8281869084251221	-0.8412861318738636
C6orf62	1.1851209000426475	0.4630679571576844	-0.7173394173916231	-0.9308494398086952
CASP1	0.6520670241788595	1.0490821518162639	-0.7337820898980438	-0.9673670860970737
B2M	0.897927293146478	0.8255142207436508	-0.7452571968228836	-0.9781843170672587
APOL1	0.7821744637601469	0.9458164915624728	-0.8458584755442635	-0.8821324797783585
