	SRR13633672	SRR13633673	SRR13633676	SRR13633677
Gene	control	control	agonist	agonist
TENM2	0.8879864262027436	0.20421799719705058	0.34083630512454016	-1.4330407285243347
ZC3H12A	-1.3578921467173304	0.6873346181244205	-0.1437182821635679	0.814275810756472
LINC01895	-0.49999999999999994	-0.49999999999999994	1.4999999999999998	-0.49999999999999994
RGS2	1.1051670393557864	0.5197715593174755	-0.5056871155994304	-1.119251483073833
ADAMTS1	0.15118980824247288	1.3151213389188914	-1.02689296961577	-0.43941817754559453
SLC16A6	-0.7760151510651446	9.255974624995307e-05	-0.6359460592537108	1.4118686505726055
PRSS23	-0.3777634884338205	-1.2370214284574856	0.9153451527924951	0.6994397640988086
ITGB3	1.2639831692302068	0.3387536869836375	-0.7613073976369418	-0.8414294585769034
HSD11B1	-1.4970283462666514	0.4373967143496973	0.585406494451951	0.4742251374650034
PLAC8	0.5058123344429032	-1.2438677762911128	1.0489482750365486	-0.31089283318833844
F3	0.9067924564005042	-1.1175597159574777	0.7786504058166347	-0.5678831462596613
CP	-0.9276321312210413	0.7141415410858726	-0.789555818505213	1.0030464086403816
