	SRR13633674	SRR13633675	SRR13633678	SRR13633679
Gene	control	control	agonist	agonist
IL7R	-0.806187738025727	-0.6757259695096165	1.3716000281922733	0.11031367934307063
CXCL10	-0.6870550086011097	-0.9707525139061629	1.15404379343988	0.5037637290673932
IFIT1	-0.7532328480224477	-0.9679871647818681	0.9452916432501524	0.7759283695541616
SCN3A	-0.6096219485861388	-0.9390683295318838	1.2974564864333524	0.2512337916846706
SAA2	-0.37953963904707055	-1.2408768355862994	0.8508257561092692	0.7695907185241012
CEACAM1	-0.5652390344953071	-1.1200820698759486	0.7889605605392093	0.8963605438320457
PFKFB4	-0.04515306321538989	-1.3900647787389937	0.8513175311327891	0.5839003108215932
HERC5	-0.7600000973885565	-0.9652997205796625	0.8963142111276707	0.8289856068405476
TRPC4	-0.8592171875339149	-0.8592171875339149	1.0124870452771093	0.7059473297907206
IDO1	-0.6657823634048583	-1.0309050571550211	1.0135625139437106	0.683124906616169
CCL5	-0.833705225437074	-0.8839268144623189	1.014506532680789	0.7031255072186033
SQOR	-0.43619278668399886	-1.207684214452485	0.827807639107815	0.8160693620286675
SLIT2	-0.5336289311693135	-1.0516343709212956	1.2126170348614889	0.3726462672291218
FZD4	-0.5039789264169509	-1.0571965164268533	1.233194827924479	0.32798061491932506
EXT1	-0.6544117647634091	-1.0118525653573704	1.115692971969747	0.5505713581510235
SOD2	-0.12347344873807105	-1.359245388992303	0.8791612767620013	0.6035575609683779
SDC4	-0.38998876205771504	-1.1710656205591061	1.139740696810087	0.4213136858067446
PLAUR	-0.4567214985451465	-1.1834560806178112	0.9713269005538312	0.6688506786091287
THEMIS2	-0.6552302692841114	-1.0094958643161989	1.1204037272948528	0.5443224063054569
ISG20	-0.6984345553745114	-1.0084948533026294	0.9918903154397508	0.7150390932373893
IRAK2	-0.011888463512277186	-1.2029029548108507	1.245762394823842	-0.03097097650071407
CFB	-0.4258269011329076	-1.198908328586626	0.987593164611041	0.637142065108495
APOL3	-0.44585947311802115	-1.1643268277713448	1.078225358886812	0.5319609420025528
OASL	-0.6857726175215982	-1.0228778128816403	0.9631685666601764	0.745481863743062
CD55	-1.0957175210249102	-0.5992382939812335	0.8915175131661723	0.8034383018399669
CXCL11	-0.7140645245572413	-0.9235879396684951	1.2036277235831008	0.43402474064263574
RNF149	-0.2166263559499893	-1.2541395558245358	1.1217964732524617	0.3489694385220634
SLC16A6	-0.14249120575545332	-1.3596260551802235	0.7127499267768342	0.789367334158843
PSME1	-0.9584221119001156	-0.7583539256747726	0.7305866157456046	0.9861894218292794
STING1	-0.6523534424272461	-1.0521587339673193	0.938035179329508	0.7664769970650573
TNIP1	-0.5531741874394603	-1.0836669652050832	1.1184536973093926	0.5183874553351455
KRT17	-0.5544411739241276	-1.0037726702123198	1.2644007604606053	0.29381308367584186
ISG15	-0.7683791568151976	-0.9371661672177289	1.0488219163240295	0.6567234077088986
MX2	-0.7209314644601469	-0.9976370222239329	0.9234690301988514	0.7950994564852278
IFIT3	-0.7476187077361052	-0.9745863149256445	0.9253392319895921	0.7968657906721563
IFIT2	-0.6832788176574905	-1.02064021394391	0.9929445821985035	0.7109744494028962
BIRC3	-0.9525301033774553	-0.6642590268191447	1.2233902287431635	0.39339890145343287
