	SRR29733234	SRR29733235	SRR29733236	SRR29733237	SRR29733230	SRR29733231	SRR29733232	SRR29733233
Gene	STING WT	STING WT	STING WT	STING WT	STING KO	STING KO	STING KO	STING KO
IL7R	1.2572997384243247	1.2632615722296041	-0.02563944560499025	0.24860702423337172	-0.011408379906126764	0.010329230877179052	-1.3799598906343649	-1.3624898496190003
CXCL10	1.2347961296818155	1.1598794371664396	0.5743320939962561	0.5449669798729827	-0.49518468510953784	-0.6255267722326457	-1.2338196167668554	-1.1594435666084537
IFIT1	1.0491875563073023	1.0332648043292147	0.8104127633102638	0.7977498939128437	-1.118891979411949	-1.0908638014383858	-0.7372326784497465	-0.7436265585595405
SCN3A	0.6771806197534374	1.2623893435578235	0.6836304974309945	0.667832464809951	-0.15305877494031989	-1.6415975497931525	-1.0617227687043926	-0.43465383211433956
SAA2	-0.9251548956102601	-0.614233176369412	-1.2216351454617886	-0.7887718859156332	0.8375669657488787	0.48557036628629835	1.456806024284351	0.7698517470375658
CEACAM1	1.2589020185578212	1.1369296415352363	0.6371243685208855	0.4844540488840817	-1.0546145127777382	-1.2699736738221423	-0.7472031484315842	-0.44561874246656025
PFKFB4	-0.722131219914076	-0.5115535479888617	-1.489130678687847	-0.8536699764503691	0.7798393616788664	1.097357811107832	0.9346234976649426	0.7646647525895189
HERC5	1.0449687532778575	1.0556366260040653	0.8189132514213271	0.8065860407599195	-0.9490538372773775	-0.9391928230957125	-0.8986277181466623	-0.9392302929434164
TRPC4	0.5090066375425772	1.3753834106722738	1.1135506273320428	0.5881002286140218	-0.946056199481978	-0.8859771998608992	-1.0272148427569159	-0.7267926620611225
IDO1	1.497703082038217	1.2303045331827005	0.6913410484205402	-0.15067324328868248	-0.708579436235574	-1.0197310994181457	-0.8546899586588746	-0.6856749260401815
CCL5	1.1226801139953033	1.0723944634046068	0.7854920038278468	0.727359764195174	-0.9046005420886029	-0.992382951307689	-0.9231701887490803	-0.8877726632775572
SQOR	0.48270085186965894	0.4562035819785854	1.6724192770145858	0.7112865568536149	-0.4519999329985428	-0.5060739824971002	-1.1862980412199864	-1.1782383110007983
SLIT2	0.07165700273452502	-0.04321815441552567	-0.9609642942107915	-0.9682347847253655	1.907913382821409	0.3114759009871734	-0.9791174120426249	0.6604883588511992
FZD4	1.3117574308301536	1.3655727143840133	0.2522957762255067	0.4164466367755974	-0.3887568118796492	-1.0410206825363775	-0.7274168031411701	-1.188878260658072
EXT1	0.5181602656370909	0.8837446216989917	-0.9880126100873184	-0.3326732595440874	1.4065889130951996	0.6623731402800409	-0.8154801536175675	-1.3347009174623554
SOD2	-0.18507614021579868	0.038092492077240775	-0.9835084602154339	-0.1482442259257065	1.4563753780129496	1.5315705123313357	-1.00886821073438	-0.7003413453301897
SDC4	0.6997362359007763	0.6641811176086859	-0.7899456814970695	-0.5441335363698158	1.0396898969648576	1.210163192332331	-1.1907920726060668	-1.0888991523337104
PLAUR	0.9824021263269574	0.7306997037714427	0.8369137316167373	0.5434419996592412	-0.24823181733877195	0.11473293963367971	-1.3222615292017126	-1.6376971544675671
THEMIS2	1.1041046803190675	1.119016756218347	0.8111196821272155	0.6550291959597485	-1.0065148126887578	-0.9545869160488122	-0.9740488072873403	-0.7541197785994691
ISG20	1.1228980264244453	0.9580237267555604	0.8402758167089178	0.7639207670907953	-1.1849471645914142	-0.9974819119301395	-0.7934440390007462	-0.7092452214574214
IRAK2	-0.23980452813890063	-0.49878843854266597	-0.4671102352348315	-0.13328767634323482	1.1652115368917701	1.8749015015466814	-1.1131105394306156	-0.5880116207482062
CFB	0.6400407380246346	1.5292748989836138	0.5330393761027147	0.5550663645217038	-1.2299195506947187	-1.3950675787255395	-0.2998723702079159	-0.3325618780044934
APOL3	1.0045944807859275	1.07845330144263	0.7082165032016007	0.5939283475514515	-1.2782369507383085	-1.4580882924383636	-0.3630425850374762	-0.2858248047674633
OASL	0.9951800665915366	0.9829462227984739	0.8701239638756694	0.8477743179458557	-1.1119416792980603	-1.1263483788954605	-0.7252321881978407	-0.7325023248201745
CD55	1.0204470701037887	1.0608656554425138	0.23245488295661257	0.34892662989527434	0.17606921506366408	0.1910041111309346	-1.503973102497243	-1.5257944620955457
CXCL11	1.2573646549884097	1.2786709243267484	0.47256829217203494	0.5742459301476582	-0.7859078539672509	-0.9443571224472764	-0.9785361473881091	-0.8740486778322135
RNF149	1.039148287696284	0.9668942849653004	0.33682672179271245	0.9439645628324491	-1.5306866044719143	-0.8262357543430112	-0.9761945589533763	0.04628306048155577
SLC16A6	0.40466304551315013	0.820642365014766	-0.4293816515616789	-0.43535152024123963	1.8248906969806666	-0.016664386459333345	-1.3152098551385074	-0.8535886941078227
PSME1	0.6817710564976057	0.5474569935467276	1.4296016567358758	0.7420618635608013	-1.193161519037688	-1.3633575340400834	-0.3890071209493115	-0.4553653963139639
STING1	0.7478423924691148	0.7886756386826567	0.8825864094207893	0.9658449050782761	-1.3155071489690053	-1.4850645256469968	-0.2826230974675631	-0.30175457356727664
TNIP1	-0.37908763581674554	-0.31886689583980243	-0.6968419961915668	-0.5516385136383221	1.5179144746223192	1.691909752389267	-0.6351275342271417	-0.6282616512980114
KRT17	-0.6112847354762229	-1.0562196348907633	-0.2982412594501397	-0.6161414752573952	1.22029944040356	1.8185139066548424	-0.4945820233844297	0.03765578140056093
ISG15	0.9480790951755635	0.7999344279137598	0.955979924483661	0.9086032726054846	-1.3128640630896384	-1.1611000527897355	-0.5991988455248857	-0.5394337587742093
MX2								
IFIT3	1.0586725014272784	1.057579973229852	0.7943456231636109	0.7688014658844458	-1.117588910890118	-1.1139785547254524	-0.7061061403204629	-0.7417259577691531
IFIT2	1.086655228212302	1.0695271463987726	0.7405164178065192	0.7698299681161754	-1.124706770687044	-1.1249948206938345	-0.7107665637612209	-0.7060606053916698
BIRC3	0.709024115529697	0.9902813861146276	-0.9971446160626113	-0.5330511304167762	0.9259763897817537	1.044681957037799	-1.076601788790024	-1.063166313194465
