	SRR29733218	SRR29733219	SRR29733220	SRR29733221	SRR29733214	SRR29733215	SRR29733216	SRR29733217
Gene	STING WT	STING WT	STING WT	STING WT	STING KO	STING KO	STING KO	STING KO
SOD2	0.9366030563057701	1.743551892687704	-0.9505606533720847	-0.47277713024121365	0.3581157021157596	-0.36523505483778546	-1.3005714562487982	0.05087364359066574
PPM1K	1.3570895591652885	1.7507254715921692	-0.17272709447453005	-0.10946770090375484	-0.6930998096145217	-0.8176088287997825	-0.7954460660392195	-0.519465530925648
NFKB2	-1.3138888876571055	-0.29495216496829746	-1.1910826382077684	-0.4900776198735349	1.0025609509199993	0.09315660802307825	1.3280077256473315	0.8662760261162861
GBP1	1.6625937418917038	1.5364402070253447	-0.5469026990927828	-0.42051558573840464	-0.46495940478552555	-0.7598180185004513	-0.7257087160062243	-0.2811295247936604
TNIP1	-1.4648492558134014	-0.7959570427248592	-0.20384172668304684	-0.5790345363115055	0.33345878874997636	0.06021917332507472	1.6549669182085531	0.9950376812491788
CCL5	1.53524633145766	1.4495325073535352	0.12282918425588409	0.02145679645854907	-0.9842367397545373	-0.8418074746427658	-0.6556137346870272	-0.6474068704412977
PLAUR	0.6800310130911618	1.9264009922148053	0.01569500919821614	0.31001929317123106	-1.2678215810408808	-0.44244172865817116	-0.3104806296614529	-0.9114023683148396
IFIT3	1.4399336827317768	1.4268304813355792	0.3156155947097105	0.1411839125061321	-0.852103163359098	-0.9015700474213992	-0.7875226018758731	-0.7823678586268279
SQOR	1.4797442035538002	1.2159394926809857	-0.16211569223594396	-0.7947655127048759	0.00015356413900139044	0.47412647749228765	-1.095328877716026	-1.117753655209239
CXCL11	1.1533886565401679	1.8629030742838226	-0.4921104417649738	-0.4756152932062283	-0.993708345939571	-0.44521138041891867	0.11908747597399666	-0.7287337454682961
IFIT2	1.3596284604638889	1.3572538569268207	0.4619377049452661	0.27618806666603746	-0.8717347971418355	-1.014346891701186	-0.7813066097245257	-0.7876197904344683
SDC4	-0.5871819848986344	-0.5359320290120003	0.7142103917054544	0.7832345255603628	-1.2709476254141592	-1.1843536324212578	0.8655263678711018	1.2154439866091302
STING1	1.3530576745927996	1.549857401865919	0.07138645500850184	0.13241407522043983	-0.9897803558910626	-1.1264251418936224	-0.44284532866335125	-0.5476647802396325
OASL	1.4062411229814327	1.3178255914991857	0.4169568788252586	0.2620420368211574	-0.6743958768400113	-0.6433794868283127	-1.0296482855216027	-1.0556419809371038
IL6	0.027325173332953607	-0.5341276622079103	-0.9621388650426035	-0.16874921843178903	-0.337764755931445	-0.889931088676034	2.0444494707422085	0.820936946214624
ISG15	1.7617174590630915	1.0998019047662941	0.004552207443573231	0.3107434847392938	-0.5935298318781544	-0.8955011839159446	-0.7674145271047306	-0.9203695131134232
MX2	1.6209352073482668	1.6018099584884438	-0.5762427381239157	-0.600542138991892	-0.31942480775585586	-0.46479116538232224	-0.632447330892346	-0.6292969846903786
IFIT1	1.5246077517878562	1.457957231421838	0.11044107343968436	-0.05446083487360608	-0.5278351250279737	-0.5252751337051297	-1.0607939817146668	-0.9246409813280025
ISG20	1.2171193906933817	1.0560021487745608	0.614550938689528	0.7609265023307619	-1.0338157055718893	-1.1095274373993884	-0.6687403846142856	-0.8365154529026676
SAA2	-0.963015951946153	0.8135351829743096	0.0697892465947843	-0.963015951946153	1.8817980779047443	-0.963015951946153	0.028436236668114533	0.09548911169650441
BIRC3	-1.0516745733788149	-0.027986644859602755	-0.24248411834651437	-1.1447824756342602	1.209246590540699	1.4580230824846991	-0.7768151570319352	0.5764732962257308
RICTOR	0.4909195717631607	1.4625028040965833	-1.0647723362023378	-0.0869145619619219	0.9007567138319558	0.12319344203971881	-1.61487057800994	-0.21081505555721688
C6orf62	-0.4632943679532648	0.052498876451864636	0.15052055710856094	1.364094722396845	-1.014068275883095	-1.0789208521640252	-0.558401246736931	1.5475705867800218
CASP1	1.9164524357720443	1.0662459210493673	-0.029165471715474733	-0.9418279858259281	-0.9530024252079113	-0.4177779465749734	-0.4050050268138037	-0.23591950068330936
B2M	1.604962106652874	1.5496743748926471	-0.30426932925368855	-0.22937580978161087	-0.8928247999624723	-0.6564786375687534	-0.7295642061036928	-0.34212369887531147
APOL1	1.4382042170564795	1.2442287646344832	0.2154974925626599	0.2658037255275258	-1.2313591239943233	-1.158687607990192	-0.15416991991711707	-0.6195175478795154
SAR1A	1.4192357964254643	1.472170039748884	-0.4829652247568477	-0.5385609961894252	0.04883179147782587	0.11987544225051475	-1.3359232851883547	-0.7026635637680636
STAT1	1.526823885618038	1.4570009576888974	-0.8088334189447214	-0.7577911989501998	0.12470961757234268	0.022056607896478023	-0.9800533120061945	-0.5839131388746388
EIF2AK2	1.249465257007661	1.5674086512205634	-0.8012339525956037	-0.43827401054594145	0.37768664304890476	-0.16206465419736424	-1.3275924002741002	-0.4653955336641165
EXT1	0.7981045161648289	1.019578390335128	0.9976450800704495	0.3865556843878356	-1.2321183398311122	-1.5880509084216117	-0.009344342690464776	-0.3723700800150499
IRAK2	-1.7677406503465396	-0.01811410628706718	-1.0060195779124976	-0.2039488488961975	1.2290587208307873	0.8705890636044508	0.7228771810579296	0.17329821794913422
STARD4	1.186231574175458	1.3772842919408625	-1.1186155742276944	-0.6689567422389018	0.5198222618412904	0.37147088352640417	-1.1491288908274289	-0.5181078041899917
XRN1	0.46791983806714216	1.4611635975025106	-0.9032697154526174	-0.686383451064271	1.129739422237047	0.33921901535269017	-1.3119430418774334	-0.4964456647650696
IFIH1	1.5757024809474167	1.586487594434979	-0.18183572493802322	-0.33285133420621743	-0.4874833459012369	-0.5144780891951256	-0.8309346826338745	-0.8146068985079145
NFKBIA	-1.4588698452052553	-0.8472226685698403	-0.43484958357844744	0.4099488720588693	-0.5131281132046395	0.28614237951139115	0.9790276591353844	1.5789512998525321
NCOA7	-0.5121803296060268	0.017848033497395818	0.822490937090306	0.8130247301462268	-1.066795349858125	-1.649327922499783	0.3993337351053305	1.1756061661246757
SAT1	1.2609697330147707	0.7447676784791378	0.7607754036361197	0.581889321206437	-0.7391314102775731	-0.1773029238441048	-1.6648250626748073	-0.76714273953998
NBN	0.696564853624415	1.812478250102372	-0.309324223666107	-0.6412953517913075	0.4147050365079165	-0.12986848750774518	-1.567822288064005	-0.27543778920553263
CD55	-1.2464160577311958	-0.9217982650623442	1.2488903703587007	0.8743490221854345	-0.7405166379547885	-0.7345537786499022	0.6389472285105232	0.8810981183435628
C5orf15	1.0133660174419703	1.7627491979308172	-1.1725216577149389	-0.036784381101963325	-0.262952519473797	-0.09986885085582507	-1.1875420726708428	-0.016445733555416214
SEMA3A	0.5655959364583208	1.0117599597389997	-1.135402997398382	-1.0463683272500175	1.1158141377567496	0.9324943624133378	-0.9621712749351948	-0.4817217967838185
NCF2	0.1424476340473942	0.2696346549538014	1.4163252287208148	1.013676832134751	-1.536055937855537	-1.2292546363456063	-0.03664916348245552	-0.040124612173156056
ERAP1	0.6214729590725881	1.160421570719913	-0.7993806347716396	-1.9321928968532225	0.8283000794621238	-0.19860796650781803	-0.08300079307215658	0.4029876819502007
PRRG4	0.24972442323832508	0.9449908081605268	-0.8430035806416155	1.5570024370907642	-0.32613637090602327	-0.21354226398806703	-1.6386204966725912	0.26958504371868697
MASTL	0.9704603134337549	1.4452855064314418	-0.6486529281293871	-0.7593080147085718	0.49911839871865404	0.4165103593624626	-1.5531868431347828	-0.3702267919735902
NEK7	0.5114953403093708	1.5427599410636574	-1.0830036214207366	-0.11229055252652607	0.5022949054974132	0.419989769516234	-1.6514278667482132	-0.12981791569120493
SMARCA5	0.7452749726646108	1.5948201313930581	0.06567395700197648	-0.8998145183926344	0.649864445269004	0.05675514608771486	-1.4332791421276563	-0.7792949918960771
SH3KBP1	0.5827466525092415	1.0989562426933281	-0.5798092259071845	-1.0578563577475704	0.9785105962296082	0.9861404527361093	-0.8460844897586242	-1.1626038707549011
CD2AP	0.26676191203411564	1.3711274611291266	-1.1261994449471677	-0.23148155497896747	0.8262861291350022	0.5964898570493663	-1.6383568080140896	-0.06462755140737134
LIPA	1.4642722279027631	1.4333206766296545	-0.7602194731605144	-0.3241390439052398	-0.0861847692871769	-0.07908686023418517	-1.4350974651936776	-0.21286529275161203
TOR1B	-0.12413423780966128	-0.008423938366143127	1.2184672520388455	1.2104582656947893	-1.3361800554082623	-1.3547730931944875	-0.21259233463001714	0.6071781416749598
TMEM154	1.1286799353593813	1.4599451343498657	-0.9506834642982108	-0.6703378206905067	0.5633738939313536	0.2382054694295081	-1.2734060987887161	-0.4957770492926688
BST2	1.7346943875031946	1.42401285560221	-0.11676011260032314	-0.4574105919780668	-0.6418087939976233	-0.636896686973471	-0.46581648799058256	-0.8400145695653402
SP100	1.6719325883332783	1.5149103555872756	-0.2406180911432299	-0.8144124781319089	-0.49641235776250925	-0.7230120278740367	-0.49572715556927427	-0.41666083343960547
FGF2	1.1468201929127357	1.6401137950523814	0.28034828841490295	0.2586753080868135	-0.8912109547305689	-0.7747739791156537	-1.0262461296829946	-0.6337265209376178
IL7R	1.3866682934056054	1.7579458236722154	-0.42812698559053464	-0.5184827259169623	-0.13542533567804457	-0.4894694349517928	-0.9269171364255954	-0.6461924985148907
SERPINE1	-0.4886880322999134	-0.606068977617816	0.7359559461397576	0.5795475272161431	-1.1919943034606142	-1.2536849944001989	1.2683804431720451	0.9565523912505927
DDX60L	1.410059835595133	1.7088463987214573	-0.4670824170539258	-0.4019731781747706	-0.08546725043498274	-0.5146120532047884	-1.023410073643795	-0.6263612618043276
ENPP1	-0.7267913048770275	-0.228381562154405	-1.354116737469372	-0.4759307226312394	0.11490881686951376	1.8971512574705385	-0.0868112294708943	0.8599714822628866
RNF149	-0.049731439235777	0.48024553698214895	-0.2187186259187924	1.4679261857635437	-0.8219437726918442	-0.6416830387520175	-1.4221152875752041	1.2060204414279736
C4BPB	-0.35835990489644126	0.6602835834751009	1.6197700396917114	1.0493175147903684	-1.021281946212524	-0.2962848185010746	-0.5002710683467039	-1.1531734000004348
ZNFX1	1.3426083919943939	1.6149381796703997	0.266722857588634	-0.1725102473260776	-0.7743184573596391	-1.02788885001308	-0.46405567034465495	-0.7854962042099775
PXK	-0.3973653963166619	-0.5498431408805933	0.7647003272014748	0.19502621167866613	-0.988289587762727	-1.4286489452576927	1.1366424200886944	1.2677781112488369
CD274	1.2857611882906672	1.5288682228369954	-0.9260215545190671	-1.0712388131406527	0.18878697561232294	0.2976599470050607	-0.7745896987754975	-0.5292262673098295
BMAL2	0.6585522293518145	1.2622028892224175	-0.2675108697830702	-0.3008705584658658	0.8592737170009397	0.48073183751820237	-1.6757046068188746	-1.0166746380255798
