	SRR17933333	SRR17933332	SRR17933331	SRR17933330
Gene	Par	Par	Tax-R	Tax-R
IL7R	1.1236902469708085	0.5622213440021049	-0.8366930914874605	-0.8492184994854418
CXCL10	0.8914064836787043	0.8402668014565458	-0.8658366425676249	-0.8658366425676249
IFIT1	0.927049695153458	0.7993599563333245	-0.9385619108559029	-0.7878477406308797
SCN3A	-0.4995750300839161	-0.9788001144102413	1.330617446119752	0.14775769837440553
SAA2	0.8456246587879718	0.8831453529539949	-0.7914112254552327	-0.9373587862867331
CEACAM1	0.6707442441763158	1.041361564392173	-0.853305064764819	-0.85880074380367
PFKFB4	0.996122611383176	0.7242191908715057	-0.9017542413740153	-0.8185875608806658
HERC5	0.8129557840952767	0.9163375505236816	-0.9104760685030033	-0.8188172661159553
TRPC4	-0.8616119509589641	-0.8690082939229039	0.9149398265525228	0.8156804183293423
IDO1	0.8464369341888978	0.8853947962319639	-0.8659158652104308	-0.8659158652104308
CCL5	0.8922586028842951	0.8388628347266575	-0.835618990271404	-0.895502447339549
SQOR	0.16012470045753105	1.347730852110935	-0.8568050013292885	-0.6510505512391777
SLIT2	-0.8645466180448421	-0.8668406478264317	0.8318151420270915	0.8995721238441794
FZD4	0.6974672991925777	1.018931854338257	-0.892142290645788	-0.8242568628850471
EXT1	-0.7439181330756736	-0.9480645883166067	0.6047895956567401	1.087193125735545
SOD2	0.6710037762467125	1.0411544912485329	-0.8581152009741235	-0.854043066521121
SDC4	0.6266317343085974	1.07533733620078	-0.8147014507336506	-0.8872676197757327
PLAUR	-0.530225495872837	-1.1459377944926763	0.8595968339478152	0.8165664564176982
THEMIS2	-0.10633399147125296	-1.3110291313453135	0.34437634043171034	1.072986782384856
ISG20	0.871077134248487	0.8600361015758037	-0.9054691006256669	-0.8256441351986233
IRAK2	-1.133984460718586	1.3037149010694822	-0.08598065446589524	-0.08374978588500097
CFB	0.700551042544644	1.01137325064838	-0.753468264217305	-0.9584560289757184
APOL3	0.7730487615309756	0.9512417595036831	-0.7881661188395005	-0.9361244021951572
OASL	0.9604421452641504	0.7627972588802969	-0.9354919074239195	-0.7877474967205279
CD55	0.501957906604322	1.1600216729024484	-0.727791153509307	-0.9341884259974559
CXCL11	0.784848907941888	0.9435600934875105	-0.8622419043244206	-0.8661670971049772
RNF149	0.6723859865323878	1.0399968332682588	-0.8655778664376585	-0.8468049533629879
SLC16A6	0.20300246154233972	-1.3765707134584517	1.019919122525823	0.1536491293902962
PSME1	0.9132966367004889	0.8115652474522792	-0.9616197590311639	-0.7632421251216042
STING1	0.9050599937906177	0.8237013308150029	-0.9279206753938912	-0.8008406492117298
TNIP1	0.07473713985284741	1.2014293607604787	-1.2449940272687519	-0.031172473344574417
KRT17	0.8935428973148509	0.8371987244197677	-0.8269904390230518	-0.9037511827115665
ISG15	1.0222752981318055	0.6762739813410785	-1.0152142214999444	-0.6833350579729363
MX2	0.6047070274893839	1.0902725600715844	-0.9151553482958078	-0.7798242392651602
IFIT3	0.9689580716024119	0.7565442771718748	-0.8563545212689984	-0.8691478275052898
IFIT2	0.9083579795135548	0.8223106815268342	-0.8420543289387665	-0.8886143321016209
BIRC3	0.6939349592047493	1.0223411143039978	-0.8734862963928894	-0.842789777115857
