	SRR17933317	SRR17933316	SRR17933315	SRR17933314	SRR17933313	SRR17933312
Gene	Par	Par	sgSTING	sgSTING	sgSTING	sgSTING
IL7R	0.6327350892511651	1.2575921306015636	0.18003690851003354	-1.708549742555598	-0.20433798224328562	-0.157476403563939
CXCL10	1.2687453828883417	1.310800544954883	-0.6803297085186775	-0.6132654070658665	-0.6991419761436481	-0.5868088361150344
IFIT1	1.2665200298120791	1.3041178383660865	-0.5983425961968375	-0.7867660022761981	-0.6806544758899236	-0.5048747938152062
SCN3A	1.0750086365131108	1.4694367954244008	-0.6579150468882303	-0.7231288927239796	-0.7438624171711994	-0.4195390751541022
SAA2	1.2314371539396203	1.3077562242044214	-0.7805638202867646	-0.2885042628465725	-0.7253823785211063	-0.7447429164895975
CEACAM1	1.0115566064886365	1.5258532970914624	-0.6280599996813905	-0.48787139024910686	-0.6571365114791533	-0.7643420021704488
PFKFB4	1.6253333561985306	0.6343896690601629	-0.053538886662156004	-0.30642166128938697	-0.7847572745634042	-1.115005202743738
HERC5	1.237658649476657	1.3406312493640633	-0.6844596702077206	-0.5877628435097436	-0.6980487623233095	-0.6080186227999458
TRPC4	1.477221155970003	1.0458462539950302	-0.706449626012246	-0.80588415201065	-0.3254895085710331	-0.6852441233711027
IDO1	1.239165944575933	1.32205602559785	-0.6985709535420342	-0.46137356319513884	-0.5702941175456384	-0.8309833358909721
CCL5	1.2686548799642718	1.301587022725548	-0.664754724111744	-0.4724111540944003	-0.763768458453108	-0.6693075660305677
SQOR	1.1439970813591422	1.2795913072645284	-0.26365094389033367	-1.2188568411951413	-0.3032432702735254	-0.6378373332646616
SLIT2	1.358989240154643	0.9603411782433073	0.1760064434451714	-0.5737828978294109	-1.0714638516663593	-0.8500901123473424
FZD4	0.918237278079818	1.5316874559148546	-0.13827863408595994	-0.8523435136328112	-0.7158423557189512	-0.7434602305569447
EXT1	-0.2071607079293923	0.7298890075962418	1.5373471864262203	-0.35271459199007105	-0.3643125326410319	-1.3430483614619788
SOD2	1.3416687862607855	1.2301632602616759	-0.49200346053114596	-0.7329551050128389	-0.6612190677294472	-0.6856544132490294
SDC4	1.2524373240922506	1.3154134191119213	-0.5551565046731741	-0.8335209193212872	-0.6277151269604413	-0.5514581922492622
PLAUR	0.9186783418184211	1.5487356149454041	-0.5553634477756867	-0.3188629108232112	-0.5988279997436381	-0.9943595984212756
THEMIS2	1.3268411608681556	1.24064440292871	-0.46209898360223717	-0.7791315253561929	-0.6522564737588281	-0.6739985810796044
ISG20	1.3268107278690178	1.2434795028997228	-0.522964366327933	-0.8052881027974026	-0.6243700485324256	-0.6176677131109785
IRAK2	1.4932870888973921	0.6545056159134476	0.26002897655658663	-0.3265775612962129	-1.011816218497617	-1.069427901573569
CFB	1.1098385605245449	1.4239304468925063	-0.5274849425287191	-0.702742357141938	-0.40786229011191	-0.895679417634484
APOL3	1.2936340541043199	1.2253153887465136	-0.7206664272855721	-0.2203703794922525	-0.7105797110384516	-0.8673329250345579
OASL	1.2712519838059282	1.3098483840879285	-0.6070636025313344	-0.6780097552718612	-0.6393777315612708	-0.6566492785293888
CD55	0.5935277791151533	0.7894769661380734	-0.3137858925073382	-1.8109485544533714	-0.06004881042030488	0.8017785121277451
CXCL11	1.2622684600586824	1.3083519938801615	-0.6771488765995733	-0.7869708286117835	-0.5039160292395751	-0.6025847194879129
RNF149	1.2745967262633229	0.7006681656820845	0.5010334561750617	-1.3181993566762857	-0.9145987483348896	-0.24350024310927465
SLC16A6	1.1766799779139503	1.2763200412984939	-0.4841357074152007	-0.5026785788551325	-1.1938031567731606	-0.27238257616896133
PSME1	0.9147304426174268	1.5528931865944902	-0.2547262612207869	-0.8632278921129031	-0.7992117041374647	-0.5504577717407766
STING1	1.3791218824329265	1.191196152373608	-0.5733318782041554	-0.6707492717279191	-0.7656084284738688	-0.5606284564005888
TNIP1	1.2458647964037723	1.2760560557960594	-0.3190039178854654	-0.5482377139931343	-0.6721105861415856	-0.9825686341796745
KRT17	1.2954780403301727	1.2768196290338671	-0.5507393654168573	-0.5658666053122487	-0.6629218261387855	-0.7927698724961492
ISG15	1.2910228359657543	1.2801949894404598	-0.5146498634630247	-0.6428459218008281	-0.6148271635403544	-0.7988948766020074
MX2	1.3531076623541567	1.2085800326202292	-0.6082470418226891	-0.6817624562195908	-0.8162368949565982	-0.4554413019755081
IFIT3	1.3069153848621524	1.2705802057939717	-0.7301128199050981	-0.6568843039576712	-0.6421165949650716	-0.5483818718282847
IFIT2	1.3028576364188158	1.2706109934413858	-0.624809927905491	-0.5052781680756142	-0.7409584614243282	-0.702422072454767
BIRC3	1.2828549675591514	1.244638282586668	-0.9235115392400404	-0.7365088830548782	-0.563322729311077	-0.30415009853982383
